Successfully downloaded train-images-idx3-ubyte.gz 9912422 bytes.
Extracting MNIST_data\train-images-idx3-ubyte.gz
Successfully downloaded train-labels-idx1-ubyte.gz 28881 bytes.
Extracting MNIST_data\train-labels-idx1-ubyte.gz
Successfully downloaded t10k-images-idx3-ubyte.gz 1648877 bytes.
Extracting MNIST_data\t10k-images-idx3-ubyte.gz
Successfully downloaded t10k-labels-idx1-ubyte.gz 4542 bytes.
Extracting MNIST_data\t10k-labels-idx1-ubyte.gz
0 0.9375
1 0.9765625
2 0.9921875
3 0.9921875
4 0.98828125
5 0.99609375
6 1.0
7 0.9921875
8 0.98828125
9 0.9921875
10 0.984375
11 1.0
12 0.98828125
13 0.99609375
14 0.9921875
15 0.9921875
16 0.99609375
17 0.98828125
18 0.99609375
19 1.0
20 0.99609375
21 0.98828125
22 0.9921875
23 0.98828125
24 0.99609375
25 0.9921875
26 0.99609375
27 0.99609375
28 0.99609375
29 0.99609375
30 1.0
31 0.9921875
32 0.99609375
33 0.99609375
34 0.99609375
35 0.99609375
36 1.0
37 0.99609375
38 0.98828125
39 0.984375
40 0.99609375
41 0.9765625
42 0.98828125
43 0.99609375
44 1.0
45 1.0
46 0.99609375
47 0.98828125
48 1.0
49 0.98828125
50 0.98046875
51 1.0
52 0.99609375
53 1.0
54 0.99609375
55 1.0
56 0.98828125
57 0.9921875
58 0.99609375
59 0.99609375
60 0.9921875
61 0.99609375
62 0.9921875
63 0.99609375
64 0.984375
65 0.99609375
66 1.0
67 1.0
68 0.98828125
69 0.9921875
70 0.9921875
71 0.99609375
72 0.99609375
73 0.9921875
74 0.984375
75 0.9921875
76 0.9921875
77 0.9921875
78 0.99609375
79 0.9921875
80 0.9921875
81 0.99609375
82 0.98828125
83 1.0
84 1.0
85 0.984375
86 0.98828125
87 0.99609375
88 0.99609375
89 0.9921875
90 0.9921875
91 0.9921875
92 1.0
93 0.98828125
94 0.9921875
95 1.0
96 0.98828125
97 0.9921875
98 0.98828125
99 0.99609375
